DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT18R,DA0912DR18R,DAGC4X18R,DAGC5X17R,DAGC6X16R,DA0GR18N,DA0GS18N,DDA00A001S19R,DDA00A001219R,DDA00A001319R,DDA00AR01S19R,DDA00AR01219R,DDA00AR01319R,DDA00AW01S19R,DDA00AW01219R,DDA00AW01319R,DDA00AM01S19R,DDA00AM01219R,DDA00AM01319R,DDA00AC01S19R,DDA00AC01219R,DDA00AC01319R,DDA00AS01S19R,DDA00AS01219R,DDA00AS01319R,DDB00A001S19R,DDB00A001219R,DDB00A001319R,DDH00A001S19R,DDH00A001219R,DDH00A001319R,DDW00A001S19R,DDW00A001219R,DDW00A001319R,DDI00A001S19R,DDI00A001219R,DDI00A001319R,DD300A001S19R,DD300A001219R,DD300A001319R,DD400A001S19R,DD400A001219R,DD400A001319R,DD200A001S19R,DD200A001219R,DD200A001319R,DDE00A001S19R,DDE00A001219R,DDE00A001319R,DA0CT18R,DA0CC18R,DA0CSA18R,DA0CAA18R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
LUFKIN ISD,003903,003 ANGELINA,07,B,17,7827,29,41.6,25.4,0.2,1.1,0.1,2.7,77.2,18.6,10.8,24.8,24.5,11.4,95.7,1.4,92,91.7,93.8,512,455,74,44,20,69,39,15,61,28,8,80,49,26,79,52,23,82,55,35,63,32,13,76,43,17,83,60,34,93,73,20,97,90,58,-1,-1,-1,71,38,18,70,38,15,50.4,39.9,1056,20.6,1278.7,582.1,0.9,3.3,8.1,45.5,12,30,99155,72607,59475,48599,40.4,6.1,13.4,36.8,11.5,20.8,13.6,11.5,11.7,75.1,1.7,65.7,10,1.1,7.1,6.2,9.8,279772,1.213,78120252,9823,76279083,48.8,37.6,13.6,1841169,19103894,0,82648788,75828949,9535,54.2,7.9,6.1,11,20.7,41133255,5172,42.9,11.3,9.1,0.8,3.5,0.3,1.6,0.6,2.9,26.9,"5,000 to 9,999",Independent Town,"$272,534 to < $299,260",$1.1701 to under $1.3050
HUNTINGTON ISD,003904,003 ANGELINA,07,B,5,1659,2.7,6.9,86.6,0.5,0.4,0,3,56,1.1,11.1,1.1,34.9,4.4,94.8,1.2,95.7,97.4,93.3,147,111,78,49,20,73,44,17,70,39,12,86,57,28,78,51,17,76,41,14,70,30,8,71,41,16,79,50,21,79,37,21,88,25,25,.,.,.,71,47,13,72,42,15,36.7,35.2,1034,20.8,265.6,130.1,1.5,3.5,8.9,49,9.2,27.9,107000,64358,52829,47268,5,6.2,12.8,29.2,13.3,16.6,19.9,0.8,1.5,96.9,0.8,70.9,10.3,9.2,0,6.9,2.8,147051,1.45,17735532,10323,16256648,67.1,21.9,11.1,1478884,4511329,0,17765207,16325246,9502,51.2,8.1,6.3,13.9,20.5,8363415,4868,38.7,11.1,9.2,0.2,4.3,0.2,4.4,0.8,0.7,30.5,"1,600 to 2,999",Non-metropolitan Stable,"$123,158 to < $164,221",$1.4272 and over
DIBOLL ISD,003905,003 ANGELINA,07,B,6,1870,12.6,51.9,33.2,0.1,0.3,0,1.9,78.9,16.1,10.3,16.6,26.5,3.6,94.9,0.8,97.6,98.5,98.5,126,104,77,44,17,72,40,12,60,22,3,82,50,23,83,49,16,84,58,33,68,35,10,74,40,13,84,56,26,-1,-1,-1,100,91,64,.,.,.,74,28,6,73,39,14,43.7,38.2,1014,19.9,299.7,139.3,1.3,3,8.1,46.5,10.5,30.6,102565,70175,58623,47608,36.6,6.2,13.4,30.6,11.6,10,18,5.1,13.4,80.7,0.7,69.4,4.3,11.1,3.6,5.8,5.7,152821,1.28,19508873,10355,18852798,66.9,20.3,12.8,656075,3832232,0,21459555,19442074,10320,50.5,8.7,5.9,12.3,22.6,9825232,5215,39.5,7.6,11.2,0.7,4.8,0.5,2.6,0.4,1.7,31.2,"1,600 to 2,999",Non-metropolitan Stable,"$123,158 to < $164,221",$1.1701 to under $1.3050
ZAVALLA ISD,003906,003 ANGELINA,07,B,2,360,0.6,3.3,90.3,0,0,0,5.8,67.5,0,13.1,0,33.9,5.3,93.5,1.6,90,100,96.8,27,17,73,38,15,70,36,14,64,30,4,81,45,22,73,25,8,72,48,20,-1,-1,-1,73,41,14,74,38,15,.,.,.,.,.,.,.,.,.,64,57,21,69,33,13,22.2,0,970,-1,59.8,34.4,2.5,5.9,4.1,57.5,8.1,21.9,59904,68972,44695,46360,0,6,10.5,32,11.8,14.2,32.5,0,0,97.2,2.8,71.6,13.8,5.1,0,9.1,0.4,285043,1.516,4667511,12683,4257683,59.1,30.9,10,409828,2492085,0,4659987,4123159,11204,60.8,8.3,4.1,11.5,15.2,2505689,6809,44.2,11,10.5,0,4.9,0.3,2.1,0.8,0,26.3,Under 500,Rural,"$272,534 to < $299,260",$1.4272 and over
CENTRAL ISD,003907,003 ANGELINA,07,B,4,1465,4.4,21,71.3,0.1,0.1,0,3,59,3.5,13.7,3.5,32.6,4.6,95.3,0.2,96.3,94.9,98.2,110,91,79,51,22,75,48,20,75,52,18,84,54,26,80,50,17,83,51,22,58,32,8,75,43,20,81,54,23,-1,-1,-1,.,.,.,.,.,.,81,54,24,74,43,17,62.4,29.4,1008,19,230.4,116,3.1,3.2,7.2,50.3,14.1,22.1,79432,67620,58554,45914,10.2,6.4,12.6,37.9,11.3,16.4,19.5,0,4.3,94,1.7,72.6,10.2,2.6,0.3,7.6,6.7,170558,1.33,15778140,10374,14953159,66.6,24.4,9,824981,3956429,0,15929846,15016002,9872,53.6,7.1,5.5,12.3,21.5,8046118,5290,42.5,13.3,7,0.1,4.5,0.7,2.6,0.9,0.6,27.7,"1,000 to 1,599",Non-metropolitan Stable,"$164,221 to < $208,918",$1.3050 to under $1.4272
ARANSAS COUNTY ISD,004901,004 ARANSAS,02,B,5,2826,1,42.6,50.8,0.3,2.2,0.1,3,67.2,5,10.1,5,28.7,5,93.9,1.9,95.1,92.2,91.9,210,177,72,43,19,68,39,14,57,30,9,77,46,26,77,50,19,77,51,27,71,35,13,67,37,14,75,48,22,56,28,17,91,61,34,100,80,20,75,48,23,67,36,14,63.8,37.3,1039,20.3,467.5,214.9,1.6,3,9.9,46,10.3,29.2,98915,72113,52840,46440,25.9,6,13.1,34.3,12.9,23.8,26.7,0.9,17.7,79.5,1.9,80.5,11.1,1.9,2.4,3.8,0.5,1083021,1.164,42895657,16848,36339829,8.4,81.5,10.1,6555828,7909349,0,39269923,35895970,14099,54.7,6.6,5,14.5,19.2,19627638,7709,46.9,9.8,6.7,0.2,2,0.3,2.8,0.6,0.8,29.9,"1,600 to 2,999",Non-metropolitan Stable,"$786,525 and over",Under $1.1701
ARCHER CITY ISD,005901,005 ARCHER,09,A,2,505,0.8,13.7,81.4,0.8,0.6,0,2.8,53.5,1.6,13.5,1.6,45.1,6.5,96.3,0.0,100,100,100,32,32,89,64,34,86,64,34,87,56,24,91,66,37,94,69,33,90,57,29,50,50,0,75,46,18,92,67,36,67,44,22,-1,-1,-1,.,.,.,100,67,46,85,54,24,68.8,72.7,1112,22.9,88.2,44.9,1.1,2.6,5.6,51,18.2,21.6,107150,76091,55115,48178,5.4,5.7,11.2,19.6,14.6,11,10.9,0,2.1,91.4,6.4,81.1,5.2,2.9,0,10.8,0,450559,1.33,7039424,14883,5806237,50.3,44.5,5.2,1233187,2588382,0,7247537,6039453,12768,57.8,5,4.3,11.8,21.1,3491911,7382,45.6,9.1,6.3,0.1,4.9,0.4,6.4,0.7,0.2,26.3,500 to 999,Rural,"$442,675 to < $456,961",$1.3050 to under $1.4272
HOLLIDAY ISD,005902,005 ARCHER,09,A,3,1046,0.5,8.4,87.9,0.6,0.1,0.1,2.5,20.9,0.3,9.1,0.3,28.1,6.3,96.8,0.0,98.5,100,100,68,56,87,62,30,87,63,30,77,44,17,88,66,32,87,64,28,87,60,35,-1,-1,-1,88,50,15,87,63,31,100,92,46,.,.,.,.,.,.,65,35,26,70,44,14,64.7,56.8,1132,24.7,128.4,75.7,1.6,2.3,4.7,58.9,14.5,18,107700,77900,56164,45963,7,8.1,13.8,20.8,14.9,22.5,13.8,0,2.6,97.4,0,85.2,3.8,2.9,0.1,7.6,0.4,278189,1.48,10466746,10404,8871759,56.5,39.6,3.9,1594987,2043559,0,9505008,8188774,8140,58.6,6.1,5.2,10,20,4801589,4773,51.8,7,2.9,0.1,4.8,0.3,4.9,1.7,0.7,25.8,"1,000 to 1,599",Other Central City Suburban,"$272,534 to < $299,260",$1.4272 and over
WINDTHORST ISD,005904,005 ARCHER,09,A,3,403,0,27.5,71.5,0.7,0,0,0.2,40,6.7,8.4,6.7,38,9.9,97.2,0.0,100,100,97.8,39,36,90,64,33,87,57,23,91,64,34,95,73,46,92,75,38,83,54,29,.,.,.,86,54,18,92,68,39,78,56,22,.,.,.,.,.,.,-1,-1,-1,87,55,25,64.1,40,989,21.7,65.4,35.1,1.9,3.2,3.2,53.7,9.8,28.1,91200,72831,58584,46248,13.7,6.2,11.5,11.7,16.4,14.2,8.4,0,0,100,0,83.5,4.7,2.8,0,9,0,201798,1.29,4936397,11534,4708691,67.6,28.9,3.6,227706,2980365,0,4794961,4601321,10751,54.2,6.9,5.5,14.5,18.9,2493289,5825,41.1,5.8,8.3,0.9,6.2,0.2,6.7,1.4,0,29.4,Under 500,Rural,"$164,221 to < $208,918",$1.1701 to under $1.3050
CLAUDE ISD,006902,006 ARMSTRONG,16,A,2,358,0.8,12.6,83.8,1.1,0,0,1.7,40.8,1.1,10.6,1.1,35.8,3.9,95.8,1.8,96,100,100,24,19,85,56,28,84,55,26,57,24,2,89,62,37,91,62,21,87,57,35,-1,-1,-1,73,36,16,86,57,29,100,89,33,.,.,.,.,.,.,83,50,22,80,46,21,66.7,18.8,-1,19.4,58.2,35.2,1.5,2.3,7.7,60.6,8.3,19.6,108150,60008,49837,42922,13.2,6.2,10.2,41.7,12.2,21.2,33.2,0,7.4,92.6,0,78.2,5.3,2.8,0,13.7,0,428669,1.103,5030839,13524,4785649,49.5,45.1,5.4,245190,3757350,0,4343151,4013640,10789,50.1,15.2,5.7,12.5,16.5,2009974,5403,39.9,6.5,6.1,0.1,4.8,0.2,6,0.9,1.8,33.8,Under 500,Rural,"$413,609 to < $442,675",Under $1.1701
CHARLOTTE ISD,007901,007 ATASCOSA,20,B,4,469,0,87.6,11.9,0.2,0.2,0,0,74,5.3,13.2,5.1,26.2,5.5,95.4,0.0,100,100,89.7,39,32,75,40,13,70,41,11,68,26,4,81,38,16,74,39,12,77,53,20,.,.,.,73,37,11,90,75,40,-1,-1,-1,67,50,17,.,.,.,.,.,.,72,38,12,59,4.3,-1,15.5,88,44.5,2.3,3.4,4.5,50.6,6.8,32.4,103975,75724,55038,49993,75,5.3,10.5,32.6,11.2,24.7,27,4.5,57.3,38.2,0,88.3,2.2,4.5,0,4.9,0,477601,1.194,6770356,13761,5962706,37.7,48,14.3,807650,1895715,0,7072211,5927972,12049,50.9,11.2,6.1,13.4,18.3,3018744,6136,35.8,7.7,12.3,0.7,3.8,0.2,2.5,0.6,1.3,35.1,Under 500,Rural,"$456,961 to < $484,748",$1.1701 to under $1.3050
JOURDANTON ISD,007902,007 ATASCOSA,20,B,5,1606,0.9,60.7,36.7,0.2,0.3,0.1,1.1,54,2.4,10.1,2.3,25.2,4.4,95.8,0.9,94.4,96.4,95.5,94,47,77,46,21,76,43,17,63,26,6,81,49,24,81,56,24,80,57,37,72,40,16,73,39,15,85,58,31,57,29,0,63,38,0,.,.,.,85,69,8,69,35,13,41.5,30.8,1003,21.3,210.3,116.8,1.4,3.4,2.9,55.6,10.4,26.3,96026,80552,66702,52541,43,7.6,13.7,18.1,14.5,27.3,19.3,0,26.4,68.5,5.1,81.7,7.4,2.6,0.9,5.8,1.7,463896,1.53,19514231,12053,16557656,28.4,61.2,10.5,2956575,4628409,0,28786223,15214770,9398,58.1,6.3,5.5,10.7,19.3,8843197,5462,46.3,9.7,5.5,0.2,4.4,0.4,4.8,0.9,1.8,26.1,"1,600 to 2,999",Non-metropolitan Stable,"$456,961 to < $484,748",$1.4272 and over
LYTLE ISD,007904,007 ATASCOSA,20,C,6,1724,0.6,80.2,18,0.2,0.1,0.2,0.6,74.1,12.1,7.9,11.7,29,3.1,94.4,2.1,93,94.2,92.6,106,100,65,31,11,63,30,10,52,20,6,69,31,11,69,41,16,61,25,9,100,55,9,62,28,9,75,42,18,64,27,0,100,40,40,67,11,0,67,33,33,60,26,8,37.7,22.5,995,18.6,268.2,114.5,2.6,3,9.2,42.7,11.1,31.4,79002,74779,58077,52391,63.2,6.4,15.1,36,11.8,23.1,16.6,0.9,44.7,52.7,1.7,70.4,8.5,7.3,0.1,10.5,3.1,160368,1.4,18923737,11184,17493197,62.9,22.9,14.2,1430540,4086282,0,18090331,16825944,9944,50.6,7.6,6.1,11.6,24.2,8505536,5027,38,8.4,10.7,0.5,5.7,0.2,3.9,1.5,3.4,27.5,"1,600 to 2,999",Non-metropolitan Stable,"$123,158 to < $164,221",$1.3050 to under $1.4272
PLEASANTON ISD,007905,007 ATASCOSA,20,B,6,3555,0.4,69.6,28.2,0.2,0.5,0.1,1.1,62.1,3.6,10,3.5,29.6,4.1,94.5,0.8,96.2,94.5,99.2,238,223,67,37,15,62,34,12,48,23,5,72,39,17,77,48,18,73,45,24,38,27,15,63,32,12,76,50,22,93,60,7,85,37,30,-1,-1,-1,82,52,28,59,29,10,47.9,34.2,1018,19.9,469.2,229.4,1.2,2.8,7.7,48.9,13.5,25.9,102482,73038,58419,51472,50.4,7.6,15.5,32.6,11.8,20.9,16.8,0.9,30.9,66.9,1.3,80.1,11.3,1.7,0,6.4,0.5,471271,1.467,41850766,11716,34390762,24.8,58.6,16.6,7460004,12682757,0,42980305,32289503,9040,53.9,6.5,5.8,12.2,21.7,17417045,4876,38.1,16.2,7.4,0.3,4.6,0.3,2.8,1,2.2,27.3,"3,000 to 4,999",Independent Town,"$456,961 to < $484,748",$1.4272 and over
POTEET ISD,007906,007 ATASCOSA,20,B,5,1695,0.3,86.4,12.6,0.1,0.2,0,0.5,79.4,5.7,8.7,7.7,30.1,4,93.5,0.5,95,92.4,95.5,116,92,69,36,11,68,37,11,62,30,10,73,40,15,73,33,8,52,18,7,55,9,0,68,35,11,76,43,16,.,.,.,-1,-1,-1,.,.,.,59,24,6,65,31,9,66.4,20.8,960,18.7,245.4,118.5,2.4,2.9,8.1,48.3,9.8,28.5,86708,74428,52281,47240,67.3,6.9,14.3,49.5,9.4,19.3,31,1.7,47.9,50.4,0,84.6,5.9,2.4,0,7.2,0,142892,1.499,19646405,11330,17704904,66.4,21.6,12,1941501,2754590,0,18106904,15931164,9188,52.3,9.4,5.9,10.8,21.7,8325986,4802,38.2,9.7,10.4,1.2,4.4,0.2,3.6,0.9,2.3,29.2,"1,600 to 2,999",Non-metropolitan Stable,"$123,158 to < $164,221",$1.4272 and over
