DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT19R,DA0912DR19R,DAGC4X19R,DAGC5X18R,DAGC6X17R,DA0GR19N,DA0GS19N,DDA00A001S20R,DDA00A001220R,DDA00A001320R,DDA00AR01S20R,DDA00AR01220R,DDA00AR01320R,DDA00AW01S20R,DDA00AW01220R,DDA00AW01320R,DDA00AM01S20R,DDA00AM01220R,DDA00AM01320R,DDA00AC01S20R,DDA00AC01220R,DDA00AC01320R,DDA00AS01S20R,DDA00AS01220R,DDA00AS01320R,DDB00A001S20R,DDB00A001220R,DDB00A001320R,DDH00A001S20R,DDH00A001220R,DDH00A001320R,DDW00A001S20R,DDW00A001220R,DDW00A001320R,DDI00A001S20R,DDI00A001220R,DDI00A001320R,DD300A001S20R,DD300A001220R,DD300A001320R,DD400A001S20R,DD400A001220R,DD400A001320R,DD200A001S20R,DD200A001220R,DD200A001320R,DDE00A001S20R,DDE00A001220R,DDE00A001320R,DA0CT19R,DA0CC19R,DA0CSA19R,DA0CAA19R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
LUFKIN ISD,003903,003 ANGELINA,07,Not Rated: Declared State of Disaster,17,7839,29.2,41.6,24.9,0.1,1.1,0,3,84.4,18.4,11.6,25,26.4,11.6,95.6,2.8,90.2,93.1,91.5,510,456,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54.5,40.6,1036,19.9,1310.7,584.7,1.3,3.5,8,44.6,13.3,29.3,96639,76047,65001,52949,41.3,6,13.4,37.6,11.4,20.9,16.2,11.5,12.3,74.2,0.5,0.2,0,1.4,67,9,1.1,6.9,5.9,10.1,282586,1.45,86134240,11005,78451124,47.6,38.2,14.2,7683116,23218956,0,90413781,78461859,10025,54.4,7.4,6,11.2,21.1,42666028,5451,43.4,11.3,9.6,0.8,3.4,0.3,1.7,0.7,2.8,26,"5,000 to 9,999",Independent Town,"$266,163 to < $288,727",$1.4301 and over
HUNTINGTON ISD,003904,003 ANGELINA,07,Not Rated: Declared State of Disaster,5,1607,2.8,6.7,86.4,0.6,0.1,0.1,3.2,54.4,1.2,14,1.2,33.1,4.6,95,0.3,97,96.4,98.1,133,96,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48.9,52.3,1063,21.4,262.8,128,1.1,3.6,9,48.7,9.7,27.9,113167,69419,56415,50079,5.5,6.1,12.6,32.8,12.8,13.7,18.4,1.6,0.8,96.9,0.8,0,0,0,71,11.6,7.9,0,6.6,2.8,157534,1.391,17790118,10723,16432498,64.6,23,12.4,1357620,4014660,0,18513190,16947679,10216,53.1,8.1,6.1,12.6,20.2,8995071,5422,37.5,11.7,10.3,0.2,4.7,0.2,4.1,2.3,0.5,28.6,"1,600 to 2,999",Non-metropolitan Stable,"$131,514 to < $178,741",$1.3141 to under $1.4301
DIBOLL ISD,003905,003 ANGELINA,07,Not Rated: Declared State of Disaster,6,1795,12.5,52.5,32.9,0.2,0.3,0,1.7,99.6,16.5,11.3,16.3,27.5,3.6,95,0.2,96.7,97.7,98.5,118,90,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,43.2,39.2,1034,18.5,302.7,139,1.3,2.9,7.9,45.9,11.1,30.8,107306,74013,61013,52585,33.1,5.9,12.9,24.4,12.6,10.6,16.5,5.1,13,82,0,0,0,0,69.7,4.6,10,3,6.8,5.9,155944,1.28,20693651,11066,19796673,65.3,21.2,13.5,896978,2895353,0,21362370,19946513,10667,51.8,8.6,5.9,11.4,22.3,10322155,5520,40.3,8.3,11,0.7,5,0.5,2.6,0.4,1.9,29.5,"1,600 to 2,999",Non-metropolitan Stable,"$131,514 to < $178,741",$1.1701 to under $1.3141
ZAVALLA ISD,003906,003 ANGELINA,07,Not Rated: Declared State of Disaster,3,320,0,5,92.5,0,0,0,2.5,72.5,0,15.3,0,30,5.6,93.1,1.6,96.3,96.6,100,35,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,37.1,15.4,966,.,61.1,34.2,0.8,6,2,55.9,8,27.2,91789,71927,64468,54199,0,5.2,9.4,34.2,12.6,14.5,23.5,0,0,97.2,0,0,0,2.8,72,11,6.9,0,9.6,0.4,296867,1.516,4967344,13798,4523157,55.7,29.3,15,444187,2459142,0,4956627,4402564,12229,62,8.3,4,10.5,15.2,2729987,7583,42.1,9.9,12.5,0,5.2,0.3,1.9,0.7,1.4,26.1,Under 500,Rural,"$288,727 to < $317,442",$1.4301 and over
CENTRAL ISD,003907,003 ANGELINA,07,Not Rated: Declared State of Disaster,4,1469,4.2,21.9,69.7,0.2,0.3,0,3.7,59.5,4.2,15,3.9,34.3,4.3,95.4,0.5,98.9,97.2,94.9,91,69,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,58.2,35.8,1045,20.7,235.2,114.7,2.5,3.6,7.1,48.8,15.4,22.7,84793,65673,61941,49649,9.9,6.2,12.8,39.2,10.7,12.2,18.1,0,3.5,94.8,0.9,0,0,0.9,71.6,10.6,3.3,0.4,7.8,6.4,182101,1.33,16406662,11199,15558630,65.5,24.6,9.9,848032,3880003,0,16852029,15057245,10278,53.6,6.9,5,13.2,21.3,8071268,5509,41.4,13.3,7.3,0.2,4.6,0.5,2.7,1,0.7,28.3,"1,000 to 1,599",Non-metropolitan Stable,"$178,741 to < $225,013",$1.3141 to under $1.4301
ARANSAS COUNTY ISD,004901,004 ARANSAS,02,Not Rated: Declared State of Disaster,4,2965,1.4,44.2,48.9,0.4,2.1,0.1,2.9,64.7,4.6,12.1,4.6,30,4.9,95.1,0.6,93.8,95.1,92.2,217,163,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,46.5,34.7,1022,20.3,447.9,205.1,1.7,2.6,8.9,45.8,11.3,29.7,101532,74895,58265,52566,25.4,6.6,14.5,34.5,12.4,21.7,22.2,0.5,16.1,81.5,0.5,0.5,0.5,0.5,81.3,9.4,2.7,2.3,3.9,0.4,1026180,1.164,39473913,13968,35509860,22.5,62.4,15.2,3964053,5727610,0,40156528,33039677,11691,50.8,8.2,5.3,15.2,20.5,16766921,5933,41,10.5,7.3,0.3,2.4,0.3,2.9,0.9,1,33.6,"1,600 to 2,999",Non-metropolitan Stable,"$847,341 and over",Under $1.1701
ARCHER CITY ISD,005901,005 ARCHER,09,Not Rated: Declared State of Disaster,2,502,0.6,13.3,80.7,1,0,0,4.4,50,1.6,12.7,1.6,46,6.2,96.1,0.6,100,100,100,28,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,32.1,1079,19.3,90.8,47.1,1.1,1.3,5.4,51.9,18.1,22.1,143500,79256,59910,54647,6.8,5.5,10.7,18.8,14.9,14.5,10.8,0,2.1,91.8,0,0,0,6.2,77.5,7.6,4.1,0,10.8,0,421437,1.33,7336723,14528,6207780,52.2,41.9,5.9,1128943,2838054,0,7139075,6010773,11903,58.5,5.5,4.4,11.2,20.5,3515487,6961,42.5,9.7,7.5,0.1,6.8,0.3,5.5,1,0.5,26.3,500 to 999,Rural,"$407,429 to < $450,515",$1.3141 to under $1.4301
HOLLIDAY ISD,005902,005 ARCHER,09,Not Rated: Declared State of Disaster,3,1047,0.5,8.2,87.4,0.8,0,0,3.2,22.2,0.2,10.5,0.2,28.6,7.6,97.1,0.0,98.7,98.5,100,74,64,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,77,49.1,1146,23,131.6,79,1.5,2.3,4.6,60,15.5,16.1,115650,87400,66356,54810,8.7,8,13.3,12.7,14.9,24.1,11.5,0,3.8,94.9,0,0,0,1.3,80.7,7.4,4.1,0.3,7.1,0.5,278093,1.48,11289706,10793,10154668,58.6,38.3,3.1,1135038,3052515,0,10398808,8762606,8377,58.5,6.5,5.1,10.3,19.5,5127840,4902,51.1,6.8,3.3,0.1,5.1,0.3,5.1,1.7,0.7,25.9,"1,000 to 1,599",Other Central City Suburban,"$266,163 to < $288,727",$1.4301 and over
WINDTHORST ISD,005904,005 ARCHER,09,Not Rated: Declared State of Disaster,3,407,0.5,27.5,71,0.7,0,0,0.2,35.4,6.4,9.1,6.4,45.2,10.1,97.2,0.7,100,100,100,38,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65.8,40,1038,21.1,65.2,34.3,1.9,3.2,4.2,52.6,9.6,28.4,102400,83083,66654,53263,15.2,6.2,11.9,14.8,15.4,11.4,16,0,5.8,94.2,0,0,0,0,78,6.2,4.3,0,11.6,0,219965,1.3,4811661,11940,4598150,67.6,27.7,4.8,213511,2961289,0,4859361,4498794,11163,56.8,7.2,5.6,11.6,18.9,2554924,6340,43.6,6.1,7.8,1.1,6.6,0.2,6.9,1.2,0,26.6,Under 500,Rural,"$178,741 to < $225,013",$1.1701 to under $1.3141
CLAUDE ISD,006902,006 ARMSTRONG,16,Not Rated: Declared State of Disaster,1,331,0.9,14.8,79.8,1.2,0,0,3.3,36.9,0.9,10.9,0.9,36.9,4.8,95.8,0.0,100,96,100,26,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,76.9,15,.,19.9,52.8,30.2,1.9,3.2,8.9,57.2,9.2,19.7,115763,66329,50435,46773,10.7,6.3,11,29.6,13.1,18.5,33.1,0,6.5,93.5,0,0,0,0,83.3,5.8,3.3,0,7.6,0,447614,1.108,4710591,13158,4546263,47,46.7,6.3,164328,4050811,0,4437396,3895489,10881,53.9,14.5,4.5,11.7,15.4,2097756,5860,42.5,5.8,6.8,0.1,5.8,0.3,3.2,0.8,1.7,33.1,Under 500,Rural,"$407,429 to < $450,515",Under $1.1701
